None,date,ticker,adj_close
1214,2017-02-28,AMZN,845.04
1215,2017-02-27,AMZN,848.64
1216,2017-02-24,AMZN,845.24
1217,2017-02-23,AMZN,852.19
1218,2017-02-22,AMZN,855.61
1219,2017-02-21,AMZN,856.44
1220,2017-02-17,AMZN,845.07
1221,2017-02-16,AMZN,844.14
1222,2017-02-15,AMZN,842.7
1223,2017-02-14,AMZN,836.39
1224,2017-02-13,AMZN,836.53
1225,2017-02-10,AMZN,827.46
1226,2017-02-09,AMZN,821.36
1227,2017-02-08,AMZN,819.71
1228,2017-02-07,AMZN,812.5
1229,2017-02-06,AMZN,807.64
1230,2017-02-03,AMZN,810.2
1231,2017-02-02,AMZN,839.95
1232,2017-02-01,AMZN,832.35
1233,2017-01-31,AMZN,823.48
1234,2017-01-30,AMZN,830.38
1235,2017-01-27,AMZN,835.77
1236,2017-01-26,AMZN,839.15
1237,2017-01-25,AMZN,836.52
1238,2017-01-24,AMZN,822.44
1239,2017-01-23,AMZN,817.88
1240,2017-01-20,AMZN,808.33
1241,2017-01-19,AMZN,809.04
1242,2017-01-18,AMZN,807.48
1243,2017-01-17,AMZN,809.72
1244,2017-01-13,AMZN,817.14
1245,2017-01-12,AMZN,813.64
1246,2017-01-11,AMZN,799.02
1247,2017-01-10,AMZN,795.9
1248,2017-01-09,AMZN,796.92
1249,2017-01-06,AMZN,795.99
1250,2017-01-05,AMZN,780.45
1251,2017-01-04,AMZN,757.18
1252,2017-01-03,AMZN,753.67
1253,2016-12-30,AMZN,749.87
1254,2016-12-29,AMZN,765.15
1255,2016-12-28,AMZN,772.13
1256,2016-12-27,AMZN,771.4
1257,2016-12-23,AMZN,760.59
1258,2016-12-22,AMZN,766.34
1259,2016-12-21,AMZN,770.6
1260,2016-12-20,AMZN,771.22
1261,2016-12-19,AMZN,766.0
1262,2016-12-16,AMZN,757.77
1263,2016-12-15,AMZN,761.0
1264,2016-12-14,AMZN,768.82
1265,2016-12-13,AMZN,774.34
1266,2016-12-12,AMZN,760.12
1267,2016-12-09,AMZN,768.66
1268,2016-12-08,AMZN,767.33
1269,2016-12-07,AMZN,770.42
1270,2016-12-06,AMZN,764.72
1271,2016-12-05,AMZN,759.36
1272,2016-12-02,AMZN,740.34
1273,2016-12-01,AMZN,743.65
1274,2016-11-30,AMZN,750.57
1275,2016-11-29,AMZN,762.52
1276,2016-11-28,AMZN,766.77
1277,2016-11-25,AMZN,780.37
1278,2016-11-23,AMZN,780.12
1279,2016-11-22,AMZN,785.33
1280,2016-11-21,AMZN,780.0
1281,2016-11-18,AMZN,760.16
1282,2016-11-17,AMZN,756.4
1283,2016-11-16,AMZN,746.49
1284,2016-11-15,AMZN,743.24
1285,2016-11-14,AMZN,719.07
1286,2016-11-11,AMZN,739.01
1287,2016-11-10,AMZN,742.38
1288,2016-11-09,AMZN,771.88
1289,2016-11-08,AMZN,787.75
1290,2016-11-07,AMZN,784.93
1291,2016-11-04,AMZN,755.05
1292,2016-11-03,AMZN,767.03
1293,2016-11-02,AMZN,765.56
1294,2016-11-01,AMZN,785.41
1295,2016-10-31,AMZN,789.82
1296,2016-10-28,AMZN,776.32
1297,2016-10-27,AMZN,818.36
1298,2016-10-26,AMZN,822.59
1299,2016-10-25,AMZN,835.18
1300,2016-10-24,AMZN,838.09
1301,2016-10-21,AMZN,818.99
1302,2016-10-20,AMZN,810.32
1303,2016-10-19,AMZN,817.69
1304,2016-10-18,AMZN,817.65
1305,2016-10-17,AMZN,812.95
1306,2016-10-14,AMZN,822.96
1307,2016-10-13,AMZN,829.28
1308,2016-10-12,AMZN,834.09
1309,2016-10-11,AMZN,831.0
1310,2016-10-10,AMZN,841.71
1311,2016-10-07,AMZN,839.43
1312,2016-10-06,AMZN,841.66
1313,2016-10-05,AMZN,844.36
1314,2016-10-04,AMZN,834.03
1315,2016-10-03,AMZN,836.74
1316,2016-09-30,AMZN,837.31
1317,2016-09-29,AMZN,829.05
1318,2016-09-28,AMZN,828.72
1319,2016-09-27,AMZN,816.11
1320,2016-09-26,AMZN,799.16
1321,2016-09-23,AMZN,805.75
1322,2016-09-22,AMZN,804.7
1323,2016-09-21,AMZN,789.74
1324,2016-09-20,AMZN,780.22
1325,2016-09-19,AMZN,775.1
1326,2016-09-16,AMZN,778.52
1327,2016-09-15,AMZN,769.69
1328,2016-09-14,AMZN,761.09
1329,2016-09-13,AMZN,761.01
1330,2016-09-12,AMZN,771.49
1331,2016-09-09,AMZN,760.14
1332,2016-09-08,AMZN,784.06
1333,2016-09-07,AMZN,784.48
1334,2016-09-06,AMZN,788.87
1335,2016-09-02,AMZN,772.44
1336,2016-09-01,AMZN,770.62
1337,2016-08-31,AMZN,769.16
1338,2016-08-30,AMZN,767.58
1339,2016-08-29,AMZN,771.29
1340,2016-08-26,AMZN,769.0
1341,2016-08-25,AMZN,759.22
1342,2016-08-24,AMZN,757.25
1343,2016-08-23,AMZN,762.45
1344,2016-08-22,AMZN,759.48
1345,2016-08-19,AMZN,757.31
1346,2016-08-18,AMZN,764.46
1347,2016-08-17,AMZN,764.63
1348,2016-08-16,AMZN,764.04
1349,2016-08-15,AMZN,768.49
1350,2016-08-12,AMZN,772.56
1351,2016-08-11,AMZN,771.24
1352,2016-08-10,AMZN,768.56
1353,2016-08-09,AMZN,768.31
1354,2016-08-08,AMZN,766.56
1355,2016-08-05,AMZN,765.98
1356,2016-08-04,AMZN,760.77
